
vinc,vict|胜，征服
balsa,'bɔːlsə,n. 西印度轻木；轻木筏
balkanization,ˌbɒlkənaɪ'zeɪʃn,n. 分割成小国；使割据
baluster,'bæləstə(r),n. 栏杆；栏杆的支柱
balkanized,'bɔːlkənaɪz,vt. 分割成小国；使割据
bank,bæŋk,n. 银行；岸；筹码；库；田埂；堤；积云；一系列；一组；一排；一团；用于循环再利用的废旧物品回收站 v. 把钱存入银行；开户；筑堤防护；堆积
banker,'bæŋkə(r),n. 银行家；庄家；捕鳕鱼者；鳕渔船；(石匠等的)工作台
banking,'bæŋkɪŋ,n. 银行业；银行业务
embankment,ɪm'bæŋkmənt,n. 堤防；筑堤
riverbank,'rɪvəbæŋk,n. 河堤；河岸
snowbank,'snəʊbæŋk,n. 雪堆；雪堤
bankroll,'bæŋkrəʊl,n. 资金 v. 提供资金
banknote,'bæŋknəʊt,n. 纸币
databank,'deɪtəbæŋk,n. 数据库
banked,bæŋkt,adj. 侧倾的；筑有堤的；积存起的 动词bank的过去式和过去分词.
bankable,'bæŋkəbl,adj. 可做银行担保的；可获利的
interbank,ɪntə'bæŋk,adj. 银行间的；同业的
mountebank,'maʊntɪbæŋk,n. 江湖郎中；骗子
nonbank,'nɒn'bæŋk,adj. (机构等)非银行的 与银行无关的. 不由银行办理的.
bankbook,'bæŋkbʊk,n. 银行存折
non-bank,'nɒnb'æŋk,n. 非银行机构
banish,'bænɪʃ,vt. 驱逐；流放；消除
banishment,'bænɪʃmənt,n. 充军；放逐；驱除
banned,bæn,v. 禁止；剥夺权利 n. 禁令；禁止
banal,bə'nɑːl,adj. 陈腐的；平庸的
banister,'bænɪstə(r),n. 栏杆的支柱；楼梯的扶栏 =bannister.
contraband,'kɒntrəbænd,n. 违禁品；走私品
banality,bə'næləti,n. 平凡；陈腐；陈腐之物
banning,bæn,v. 禁止；剥夺权利 n. 禁令；禁止
bannister,'bænɪstə,n. 栏干 =banister.
banco,'bæŋkɒ,n. 一种赌注

vi,via|路
via,'vaɪə,prep. 经由；通过
obviate,'ɒbvieɪt,v. 排除；消除；避免
obvious,'ɒbviəs,adj. 明显的；显然的
non-obvious,nɒn-'ɔbviəs,adj.不明显的，显著的
obviousness,'ɒbviəs,adj. 明显的；显然的
obviously,'ɒbviəsli,adv. 显然地
previous,'priːviəs,adj. 以前的；先于；在 ... 之前
previously,'priːviəsli,adv. 先前；在此之前
trivia,'trɪviə,n. 琐事；不重要的事情
trivial,'trɪviəl,adj. 不重要的；琐碎的
nontrivial,'nɒn'trɪvɪəl,adj. 非平凡的；重要的
trivially,'trɪviəli,adv. 琐细地；无能地；平凡地
triviality,ˌtrɪvi'æləti,n. 琐事；平凡；轻浮
trivialize,'trɪviəlaɪz,v. 使显得不重要；使琐碎
trivialization,ˌtrɪviəlaɪ'zeɪʃn,平凡化
deviant,'diːviənt,adj. 不正常的；离经叛道的 n. 异常的人
deviate,'diːvieɪt,v. 偏离；脱离 n. 叛离者；偏差；不正常的人或物 adj. 离经叛道的
deviation,ˌdiːvi'eɪʃn,n. 偏离；出轨；背弃 n. [数]偏差
deviationist,ˌdiːvɪ'eɪʃənɪst,adj. (政党内)路线偏差(指"左"倾或右倾)分子的 n. (政党内)路线偏差(指"左"倾或右倾)分子
devious,'diːviəs,adj. 迂回的；弯曲的；不正直的；狡猾的
deviously,'diːviəsli,adv. 不定向地
deviance,'diːviəns,n. 异常；变异
deviancy,'diːviənt,adj. 不正常的；离经叛道的 n. 异常的人
deviated,'diːvieɪt,v. 偏离；脱离 n. 叛离者；偏差；不正常的人或物 adj. 离经叛道的
viatic,vaɪ'ætɪk,adj. 道路的；旅行的
viameter,vaɪ'æmɪtə,n. 路程计
viaduct,'vaɪədʌkt,n. 高架桥
voyage,'vɔɪɪdʒ,n. 航行；旅程 v. 航行；旅行
voyager,'vɔɪɪdʒə(r),n. 航海者；航行者
voyageur,ˌvɔɪə'ʒɜː,n. 加拿大的船夫或樵夫；旅客
convoy,'kɒnvɔɪ,n. 护航队；护送；护卫；警护 v. 护航；护送
envoy,'envɔɪ,n. 外交使节；特使
covey,'kʌvɪ,n. 群；一群(鹧鸪)；一队
convey,kən'veɪ,vt. 表达；传达；运输；转移
conveyor,kən'veɪə,n. 输送机；运送者；交付者 =conveyer.
conveyer,kən'veɪə,n. 输送机；运送者；交付者
conveyance,kən'veɪəns,n. 运输；运输工具；[法律]财产让与
way,weɪ,n. 路；路线；方法；方式；作风；样子；方向；出入通道；距离；时间段；地区；方面；情况 adv. 非常；远远地 adj. 途中的，中途的
away,ə'weɪ,adv. 离开；远离；在远处；一直；朝另一个方向；消失 adj. 不在的；遥远的；[棒]出局的；客场的
always,'ɔːlweɪz,adv. 总是；一直；始终；永远；随时；无论如何
anyway,'eniweɪ,adv. 不管怎样；无论如何
highway,'haɪweɪ,n. 公路；(水陆空)直接航线或路线
hallway,'hɔːlweɪ,n. 过道；门厅；走廊
doorway,'dɔːweɪ,n. 门口
halfway,ˌhɑːf'weɪ,adj. 中途的；不彻底的 adv. 半路地；在…中间；折中地
driveway,'draɪvweɪ,n. (住宅前的)车道
subway,'sʌbweɪ,n. 地铁；地下通道
runway,'rʌnweɪ,n. 跑道；河床；悬索道；滑沟
runaway,'rʌnəweɪ,n. 逃跑者；逃亡 adj. 逃跑的；失控的；迅速的
freeway,'friːweɪ,n. 高速公路；快车道
pathway,'pɑːθweɪ,n. 路；径
underway,ˌʌndə'weɪ,adj. 正在进行中的
sideways,'saɪdweɪz,adv.向侧面地；向一旁adj.向侧面的；一旁的
railway,'reɪlweɪ,n. 【C】铁路
fairway,'feəweɪ,n. (高尔夫球)球道；航路；开阔的通道
waterway,'wɔːtəweɪ,n. 水路；航道；水道；舷侧排水沟
walkway,'wɔːkweɪ,n. 走道；人行道
gateway,'ɡeɪtweɪ,n. 门；通路
stairway,'steəweɪ,n. 楼梯
getaway,'ɡetəweɪ,n. 逃走；逃跑；短假；适合旅行的地方
roadway,'rəʊdweɪ,n. 车行道
one-way,wʌn weɪ,adj. 单程的；单行的
two-way,tu:'weɪ,adj. 双向的；双路的；双方的

rect|正，直
correct,kə'rekt,adj. 正确的；得体的 v. 改正；纠正
correctly,kə'rektli,adv. 正确地；恰当地
correctness,kə'rektnəs,n. 正确；正确性
correction,kə'rekʃn,n. 订正；改正；惩罚；(市价)回落
corrected,kə'rektɪd,adj. 修正的；校正的 动词correct的过去式和过去分词.
correctional,kə'rekʃənl,adj. 修正的；惩治的
corrective,kə'rektɪv,adj. 纠正的；改正的；矫正的 n. 矫正物
correcting,kə'rekt,adj. 正确的；得体的 v. 改正；纠正
corrector,kə'rektə,n. 校正程序；校正者；校正器；惩罚者；中和剂
correctitude,kə'rektɪtjuːd,n. 正；端正；有礼有节
uncorrected,'ʌnkə'rektɪd,adj. 未改正的
correctable,kə'rekt,adj. 正确的；得体的 v. 改正；纠正
incorrect,ˌɪnkə'rekt,adj. 不正确的；错误的
incorrectly,ˌɪnkə'rektli,adv. 不正确地；错误地
direct,də'rekt,adj. 直接的；笔直的；坦白的 v. 对准；指挥；指示；命令
directed,dɪ'rektɪd,adj. 定向的；经指导的；有管理的；被控制的 动词direct的过去式和过去分词.
directness,də'rektnəs,n. 直接；直率
direction,də'rekʃn,n. 方向；指导；用法说明；趋势；目标；管理
directive,də'rektɪv,adj. 指导的；指挥的；管理的 n. 指令
directing,də'rekt,adj. 直接的；笔直的；坦白的 v. 对准；指挥；指示；命令
directory,də'rektəri,n. 目录；工商名录；指南 adj. 给予指导的
directional,də'rekʃənl,adj. 方向的
director,də'rektə(r),n. 董事；经理；导演；主管，总监；指挥者
directorate,də'rektərət,n. 董事的职位或职务；理事会
directorial,ˌdaɪrek'tɔːriəl,adj. 指挥的；管理的；导演的
co-director,'kəʊdɪr'ektər,n. 公司主管
directress,dɪ'rektrɪs,n. director 的女性
directly,də'rektli,adv. 直接地；立即；正好地；完全 conj. 一...就...
indirect,ˌɪndə'rekt,adj. 间接的；迂回的；次要的；不坦率的
directionless,də'rekʃnləs,adj. 无方向的；无目标的
self-directed,'selfdɪ'rektɪd,adj. 自我为中心的；自我指导的；自主的
misdirect,ˌmɪsdə'rekt,v. 指错方向；误用；误导；给(陪审团)错误指示
indirection,ˌɪndɪ'rekʃən,n. 间接；迂回；不坦率
indirectly,ˌɪndɪ'rektlɪ,adv. 间接地
directorship,də'rektəʃɪp,n. 管理者的职位
direct-mail,dɪ'rekt meɪl,n.直接邮件；直接邮寄广告
undirected,'ʌndɪ'rektɪd,adj. 无目标的；未受指导的；（信）无收件人姓名的
multidirectional,mʌltɪdɪ'rekʃənl,adj. 多方向的
rectify,'rektɪfaɪ,vt. 改正；[化]精馏；[电]整流
rectifier,'rektɪfaɪə,n. [电]整流器；改正者；矫正
rectification,ˌrektɪfɪ'keɪʃn,n. 改正；改订；矫正
rectitude,'rektɪtjuːd,n. 诚实；正直；操行端正
rectilineal,ˌrektɪ'lɪnjəl,adj. 直线的(用直线围着的) n. 环箍筋
rectangle,'rektæŋɡl,n. 长方形；矩形
rectal,'rektəl,adj. 直肠的
rector,'rektə(r),n. 校长；教区牧师
rectory,'rektəri,n. 教区长的管区或住宅
erect,ɪ'rekt,vt. 使竖立；建立；建造 adj. 直立的；竖立的；笔直的
erectile,ɪ'rektaɪl,adj. 可直立的；勃起的
erection,ɪ'rekʃn,n. 直立；建造；建筑物；[生]勃起
erective,ɪ'rektɪv,adj. 竖直的(安装的；建筑物)
erector,ɪ'rektə,n. 安装工；建造者；装置机；[解剖学]竖立肌
rectum,'rektəm,n. 直肠
resurrect,ˌrezə'rekt,v. 使复活；复兴；挖出
resurrection,ˌrezə'rekʃn,n. 复活；复兴；恢复 Resurrection：耶稣复活； （最后审判日前）全部死者的复活.
redirect,ˌriːdə'rekt,adj. 再直接的 v. 重新传入；重新寄送
redirection,'riːdɪ'rekʃən,n. 转移呼叫；重定向
insurrection,ˌɪnsə'rekʃn,n. 叛乱；暴动
insurrectionist,ˌɪnsə'rekʃənɪst,n. 起义者；造反者
insurrectionary,ˌɪnsə'rekʃənri,adj. 起义的(暴动的；造反的) n. 起义者
colorectal,kəʊlə'rektəl,adj. [解]结肠直肠的
rectitude,'rektɪtjuːd,n. 诚实；正直；操行端正
bidirectional,ˌbaɪdə'rekʃənl,adj. 双向的；双向作用的
director-general,di'rektə'dʒenərəl,理事长； 总干事
unidirectional,ˌjuːnɪdɪ'rekʃənəl,adj. 单向的
misdirection,ˌmɪsdaɪ'rekʃn,n. 错误指导；错误指示；没有瞄准
misdirected,ˌmɪsdə'rekt,v. 指错方向；误用；误导；给(陪审团)错误指示
rectus,'rektəs,n. [解]直肌
writer-director,'raɪtə-dɪ'rektə,n.编剧加导演
self-direction,'selfdɪr'ekʃn,自动引导；自我指导
goal-directed,'gəʊldɪ'rektɪd,adj. 有用意的；有意图的
self-correcting,selfkə'rektiŋ,adj. 自动调整；自动修正
directionality,dɪˌrekʃə'nælɪtɪ,n. 方向性；定向性
teacher-directed,'tiːtʃə-daɪ'rɛktɪd,adj.以教师为主导的
incorrectness,ˌɪnkə'rektnəs,n. 不正确；不恰当
recto,'rektəʊ,n. 右页；面页；纸的正面
non-directive,'nɒndɪr'ektɪv,adj. 无方向性的；无定向的
state-directed,steɪt-daɪ'rɛktɪd,adj.主导的
other-directed,'ʌðədə'rektɪd,adj. 受人支配的；缺少自主性的
self-correction,'selfkər'ekʃn,自校正
omnidirectional,ˌɒmnɪdə'rekʃənl,adj. 全方向的
direct-marketing,dəˈrekt-'mɑːkɪtɪŋ,n.直复营销
direct-drive,dɪ'rektdr'aɪv,直接激励
direct-injection,dɪ'rektɪndʒ'ekʃn,缸内直喷
producer-director,prəd'juːsədɪr'ektər,编导
direct-view,dəˈrekt-vjuː,n.直观
direct-action,dɪ'rekt'ækʃn,[电] 直接传动
endarterectomy,endɑːtə'rektɒmɪ,n. [医]动脉内膜切除术
student-directed,'stjuːd(ə)nt-daɪ'rɛktɪd,adj.学生导向的
consumer-directed,kən'sjuːmə-daɪ'rɛktɪd,adj.消费者主导的
direct-to-video,dəˈrekt-tu-'vɪdɪəʊ,n.录像带首映
nephrectomy,nɪ'frektəmɪ,n. [医] 肾切除术
direct-response,dɪ'rektrɪsp'ɒns,直接回应
direct-sales,dəˈrekt-seɪlz,adj.直接销售
anorectal,ən'rektl,肛门直肠的

flu,flux|流
flu,fluː,n. 流行性感冒
fluent,'fluːənt,adj. 流利的；流畅的
fluence,flʊəns,n. [核]注量
fluently,'fluːəntli,adv. 流利地；流畅地
fluency,'fluːənsi,n. 流利；流畅
influent,'ɪnflʊənt,adj. 流入的 n. 支流
influencing,'ɪnflʊənsɪŋ,adj. 影响的 influence的现在进行分词形式.
influenza,ˌɪnflu'enzə,n. 流行性感冒
influence,'ɪnfluəns,v. 影响；感染；在(饮料)中加烈酒 n. 影响力；影响；权势；势力；有影响的人(或事物)
influenced,'ɪnfluəns,v. 影响；感染；在(饮料)中加烈酒 n. 影响力；影响；权势；势力；有影响的人(或事物)
uninfluenced,'ʌn'ɪnflʊənst,adj. 未受影响
influential,ˌɪnflu'enʃl,adj. 有权势的；有影响的 n. 有影响力的人物
uninfluential,'ʌnˌɪnflʊ'enʃəl,adj. 不产生影响的
confluent,'kɒnflʊənt,adj. 汇流的；融合性的 n. 汇合的河流；支流
confluence,'kɒnflʊəns,n. 合流；汇合
fluid,'fluːɪd,n. 液体；流体 adj. 流动的；流畅的；不定的
fluidity,flu'ɪdəti,n. 流动性；流质；变移性
fluid-filled,'fluːɪd-fɪld,adj.充以流体的
fluidly,'fluːɪd,n. 液体；流体 adj. 流动的；流畅的；不定的
fluidize,'fluːədaɪz,vt. 液化(用高速气流输送)
fluidized,'fluːɪdaɪzd,v.  使 ... 液化(液化) adj.  流体化的(流动化； 悬浮的)
superfluity,ˌsjuːpə'fluːəti,n. 多余；过剩；奢侈品
superfluid,sjuːpə'fluːɪd,n. 超流体 adj. 超流体的
superfluidity,sjuːpəflʊ'ɪdɪtɪ,n. 超流动性(超流性)
superfluous,suː'pɜːfluəs,adj. 多余的；过剩的；不必要的
refluent,'reflʊənt,adj. 逆流的；倒流的；退潮的
refluence,'refluːəns,n. 逆流
defluent,'defluːənt,adj. 向下流的 n. 下流的部分
circumfluent,sə'kʌmflʊənt,adj. 周流的；环流的
effluent,'efluənt,n. 废水；污物；水流 adj. 流出的
interfluent,ɪn'tɜːflʊənt,adj. 流入中间的；合流的
flux,flʌks,n. 流量；变迁；助熔剂 vt. 使熔化；使泻；涨 vi. 熔化
fluxion,'flʌkʃən,n. 流动；不断的变化；转变；[数]微分学
fluxional,'flʌkʃənl,adj. 微分的(不断变化的)
afflux,'æflʌks,n. 流入；注入；涌进
efflux,'eflʌks,n. 流出物；流出
reflux,'riːflʌks,n. 逆流；退潮 v. (使)回流
influx,'ɪnflʌks,n. 流入；河口；汇集；涌入
flush,flʌʃ,v. 冲洗；发红；将某人赶出 n. 脸红；冲洗；（纸牌）同花牌；【计算机】冲洗
flush-mounted,f'lʌʃm'aʊntɪd,adj. 嵌装的
flushed,flʌʃt,adj. 兴奋的；充满喜悦的；脸红的 动词flush的过去式和过去分词.
flushing,'flʌʃɪŋ,n. 冲洗；脸红 动词flush的现在分词形式. Flushing: 弗拉兴(纽约城的一个区).
affluent,'æfluənt,adj. 富裕的 n. 支流
affluence,'æfluəns,n. 富裕
flue,fluː,n. 烟道；暖气管
flu-like,fluː-laɪk,adj.类似感冒的
flume,fluːm,n. 溪谷；笕槽；水道
mellifluous,me'lɪfluəs,adj. 如蜜般的；流畅的；甜美的 =mellifluent.
fluvial,'fluːviəl,adj. 河流的；生于河中的；河流冲刷作用形成的
influence-peddling,'ɪnfluənsp'edlɪŋ,n. 权力贩子
microfluidic,maɪkrəʊflu'ːɪdɪk,微流体
flue-cured,f'luːkj'uəd,adj. 烤干的
fluoroscopy,ˌflʊə'rɒskəpɪ,n. 荧光检查；荧光学；X光透视检查

sit,sid,sed,sess|坐
sit,sɪt,v. 坐；栖息；使就座 n. 坐；栖息
siting,'saɪtɪŋ,n. 建设地点的决定；(道路等)定线 动词site的现在分词形式.
sitting,'sɪtɪŋ,n. 就餐时段；一次；供人画像或拍照期间；开庭；开会 adj. 坐着的；孵卵的；现任的；易击中的 动词sit的现在分词.
sitter,'sɪtə(r),n. 就座者；被画像(或拍照)的人；孵卵鸡；得分良机；不在飞行中的鸟或兽(因而容易射中)；易做的或易捕捉的事物；临时看孩子的人
site,saɪt,n. 地点；位置；现场 vt. 使 ... 位于
website,'websaɪt,n. 网站
situate,'sɪtʃueɪt,vt.  位于； 坐落在 adj.  位于 ... 的； 坐落在 ... 的
situated,'sɪtʃueɪtɪd,adj. 位于；处于 ...境地的 动词situate的过去式和过去分词
situating,'sɪtʃueɪt,vt.  位于； 坐落在 adj.  位于 ... 的； 坐落在 ... 的
situation,ˌsɪtʃu'eɪʃn,n. 形势；局面；位置；职位；处境；状况
situatedness,'sɪtjʊeɪtɪdnɪs,情境性
situational,ˌsɪtʃu'eɪʃənl,adj. 环境形成的
sitcom,'sɪtkɒm,n. 情景喜剧（=situation comedy） SITCOM. n. 单收入、有两个孩子及沉重房贷负担的家庭(=Single Income Two Children Oppressive Mortgage)
baby-sit,'beɪbɪˌsɪt,v. (代人临时)照看小孩；当临时保姆
baby-sitting,'beɪbɪˌsɪt,v. (代人临时)照看小孩；当临时保姆
sit-up,'sitʌp,n. 仰卧起坐
sit-down,'sitdaun,n. 静坐抗议；静坐罢工；坐 adj. 坐着实现的；坐着完成的
sit-in,'sitin,n. 室内静坐抗议；室内静坐罢工
off-site,'ɔːfs'aɪt,adj. 不在现场的 adv. 不在现场
worksite,'wɜːksaɪt,n. 工地
homesite,'həʊmsaɪt,住宅根据地
in-situ,ɪn'saɪtuː,adj. 原位的 adv. 在原位
sitting-room,'sɪtɪŋrʊm,n. 起居室
consider,kən'sɪdə(r),v. 考虑；思考；认为；体谅；注视
considering,kən'sɪdərɪŋ,prep.  鉴于； 考虑到 conj.  就 ... 而言
considered,kən'sɪdəd,adj. 考虑过的；被尊重的
unconsidered,ˌʌnkən'sɪdəd,adj. 欠考虑的；不重要的
considerate,kən'sɪdərət,adj. 考虑周到的；体谅的；体贴的
inconsiderate,ˌɪnkən'sɪdərət,adj. 不体谅他人的；不顾别人的；欠考虑的
considerately,kən'sɪdərətli,adv. 体贴地；体谅地
consideration,kənˌsɪdə'reɪʃn,n. 考虑；体贴；考虑因素；敬重；意见
considerable,kən'sɪdərəbl,adj. 重要的；相当大的；可观的
considerably,kən'sɪdərəbli,adv. 非常地；相当地；颇
inconsiderable,ˌɪnkən'sɪdrəbl,adj. 无足轻重的；琐碎的；微小的；不值得考虑的
reconsider,ˌriːkən'sɪdə(r),v. 重新考虑；再斟酌
reconsideration,ˌriːkənˌsɪdə'reɪʃn,n. 重新考虑；再审；再议
ill-considered,'ilkən'sidəd,adj. 不充分考虑的；不妥当的
well-considered,wel-kən'sɪdəd,ad j.考虑周密的 ;深思熟虑的
preside,prɪ'zaɪd,v. 主持；任主席；统辖
presider,prɪ'zaɪdə,n. 主席；主持者
president,'prezɪdənt,n. (国家)总统；(公司)总裁；校长；总经理；社长
presidential,ˌprezɪ'denʃl,adj. 总统的；总统制的
unpresidential,ʌn,prezi'denʃəl,a dj.非统辖的
presidentially,prezɪ'denʃəlɪ,以总统的资格
presidency,'prezɪdənsi,n. 总统（总裁、主席等）的职位（或任期）
co-president,kəu'prezidənt,n.共同会长；两名总裁之一
vice-president,vaɪs 'prezɪdənt,n. 副总统；副总裁
vice-presidential,vais'prezi'denʃəl,adj.副主席的
vice-presidency,'vaɪsiːpr'ezɪdənsɪ,副董事长职位
ex-president,'eks'prezɪdənt,n. 前任总统
then-president,ðen-'prezɪd(ə)nt,n. 当时的总统
post-presidential,pəust-,prezɪ'denʃəl,adj.卸任总统 的
presidium,prɪ'sɪdiəm,n. 主席团
presiding,prɪ'zaɪdɪŋ,adj. 主持会议的；主持的；首席的 动词preside的现在分词形式.
presidio,prɪ'sɪdɪəʊ,n. 要塞；流放地
reside,rɪ'zaɪd,vi. 居住；属于；存在
resident,'rezɪdənt,n. 居民；住客；住院医生 adj. 居住的
residence,'rezɪdəns,n. 住宅；住处；居住
residency,'rezɪdənsi,n. 居住；住所；管辖区 (美)高级专科住院实习(期).
residential,ˌrezɪ'denʃl,adj. 住宅的；居住的
residentially,ˌrezɪ'denʃl,adj. 住宅的；居住的
non-resident,nɔn'rezidənt,非驻留的,非居民
